city,temp,humid,wind,clouds,lat,lng,maxtemp,country,local_date_time
longyearbyen,26.6,93,2.3,90,78.2186,15.6401,26.6,SJ,2021-05-11 00:15:22
ushuaia,50,53,18.41,40,-54.8,-68.3,50,AR,2021-05-10 19:16:16
erdenet,41.4,49,10.25,15,49.0333,104.0833,41.4,MN,2021-05-11 06:16:16
calatayud,50.63,82,4.61,100,41.3535,-1.6432,55.4,ES,2021-05-11 00:16:17
gunjur,68,94,13.8,0,13.2019,-16.7339,68,GM,2021-05-10 22:16:17
pevek,20.7,80,0.87,21,69.7008,170.3133,20.7,RU,2021-05-11 10:13:37
kristiansund,50,76,1.14,20,63.1115,7.732,50,NO,2021-05-11 00:16:17
fortuna,55.49,82,14.97,1,40.5982,-124.1573,57,US,2021-05-10 15:16:17
altay,60.8,46,5.59,65,47.8667,88.1167,60.8,CN,2021-05-11 06:16:17
avarua,78.8,73,6.91,75,-21.2078,-159.775,78.8,CK,2021-05-10 12:16:18
dhidhdhoo,84.88,72,10.13,100,6.8833,73.1,84.88,MV,2021-05-11 03:16:18
albany,49.44,72,8.25,81,42.6001,-73.9662,52,US,2021-05-10 18:13:28
teahupoo,86,58,5.75,75,-17.8333,-149.2667,86,PF,2021-05-10 12:16:18
hilo,74.44,61,10.36,90,19.7297,-155.09,80.6,US,2021-05-10 12:12:09
busselton,70,61,5.01,65,-33.65,115.3333,70,AU,2021-05-11 06:16:18
cabo san lucas,81.72,48,13.8,75,22.8909,-109.9124,84.2,MX,2021-05-10 16:13:53
sitka,50,62,14.97,90,57.0531,-135.33,50,US,2021-05-10 14:16:19
kapaa,77.61,69,16.11,40,22.0752,-159.319,80.6,US,2021-05-10 12:16:19
banfora,79.86,65,4.85,64,10.6333,-4.7667,79.86,BF,2021-05-10 22:16:19
cherskiy,29.03,88,4.05,95,68.75,161.3,29.03,RU,2021-05-11 09:16:19
rikitea,78.1,75,24.23,100,-23.1203,-134.9692,78.1,PF,2021-05-10 13:16:20
vaini,78.8,73,12.66,40,-21.2,-175.2,78.8,TO,2021-05-11 11:16:20
burnie,55.99,42,1.99,33,-41.0667,145.9167,55.99,AU,2021-05-11 08:16:20
rawah,74.28,15,6.6,92,34.4816,41.9093,74.28,IQ,2021-05-11 01:16:20
